thread begin 0
thread 0 entered malloc(1425)
thread 0 entered malloc(1169)
thread 0 entered malloc(16)
thread 0 entered malloc(334)
thread 0 entered malloc(40)
thread 0 entered malloc(480)
thread 0 entered malloc(38)
thread 0 entered malloc(1184)
thread 0 entered malloc(38)
thread 0 entered malloc(32)
thread 0 entered malloc(1178)
thread 0 entered malloc(32)
thread 0 entered malloc(35)
thread 0 entered malloc(1181)
thread 0 entered malloc(35)
thread 0 entered malloc(33)
thread 0 entered malloc(1179)
thread 0 entered malloc(33)
thread 0 entered malloc(88)
thread 0 entered malloc(40)
thread 0 entered malloc(38)
thread 0 entered malloc(1184)
thread 0 entered malloc(38)
thread 0 entered malloc(56)
thread 0 entered malloc(56)
thread 0 entered malloc(56)
thread 0 entered malloc(120)
thread 0 entered malloc(192)
thread 0 entered malloc(72)
thread 0 entered malloc(264)
thread 0 entered malloc(768)
thread 0 entered malloc(192)
thread 0 entered malloc(240)
thread 0 entered malloc(144)
thread 0 entered malloc(456)
thread 0 entered malloc(1056)
thread 0 entered malloc(4424)
thread 0 entered malloc(288)
thread 0 entered malloc(552)
thread 0 entered malloc(120)
thread 0 entered malloc(1024)
thread 0 entered malloc(5)
thread 0 entered malloc(120)
thread 0 entered malloc(12)
thread 0 entered malloc(776)
thread 0 entered malloc(112)
thread 0 entered malloc(1336)
thread 0 entered malloc(216)
thread 0 entered malloc(432)
thread 0 entered malloc(104)
thread 0 entered malloc(88)
thread 0 entered malloc(120)
thread 0 entered malloc(168)
thread 0 entered malloc(104)
thread 0 entered malloc(80)
thread 0 entered malloc(192)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(12)
thread 0 entered malloc(34)
thread 0 entered malloc(10)
thread 0 entered malloc(56)
thread 0 entered malloc(56)
thread 0 entered malloc(128)
thread 0 entered malloc(20000)
thread 0 entered malloc(32)
thread 0 entered malloc(2)
thread 0 entered malloc(32816)
thread 0 entered malloc(22)
thread 0 entered malloc(14)
thread 0 entered malloc(32)
thread 0 entered malloc(13)
thread 0 entered malloc(11)
thread 0 entered malloc(15)
thread 0 entered malloc(22)
thread 0 entered malloc(22)
thread 0 entered malloc(11)
thread 0 entered malloc(17)
thread 0 entered malloc(13)
thread 0 entered malloc(14)
thread 0 entered malloc(14)
thread 0 entered malloc(18)
thread 0 entered malloc(14)
thread 0 entered malloc(14)
thread 0 entered malloc(15)
thread 0 entered malloc(11)
thread 0 entered malloc(16)
thread 0 entered malloc(18)
thread 0 entered malloc(17)
thread 0 entered malloc(12)
thread 0 entered malloc(14)
thread 0 entered malloc(14)
thread 0 entered malloc(40)
thread 0 entered malloc(14)
thread 0 entered malloc(22)
thread 0 entered malloc(16)
thread 0 entered malloc(21)
thread 0 entered malloc(14)
thread 0 entered malloc(15)
thread 0 entered malloc(16)
thread 0 entered malloc(21)
thread 0 entered malloc(14)
thread 0 entered malloc(13)
thread 0 entered malloc(13)
thread 0 entered malloc(28)
thread 0 entered malloc(12)
thread 0 entered malloc(19)
thread 0 entered malloc(19)
thread 0 entered malloc(9)
thread 0 entered malloc(11)
thread 0 entered malloc(14)
thread 0 entered malloc(11)
thread 0 entered malloc(14)
thread 0 entered malloc(1080)
thread 0 entered malloc(1488)
thread 0 entered malloc(15624)
thread 0 entered malloc(1024)
thread end 0 code 0
